"LOCATION_NAME","LONGITUDE","LATITUDE"
"BAHÇELİEVLER ÇOBANÇEŞME","28.819394","41.015312"
"BÜYÜKÇEKMECE MİMAROBA SPOR EĞİTİM MERKEZİ","28.53811","41.0078"
"METRO-M2 Yenikapi","28.951582","41.005137"
"SİLİVRİ SPOR EĞİTİM MERKEZİ","28.246814","41.07331"
"ATAŞEHİR FERHATPAŞA","29.1694","40.98739"
"EYÜPSULTAN GÖKTÜRK","28.886391","41.179839"
"ESENLER SPOR KOMPLEKSİ","28.8789742208149","41.0530649386033"
"EYÜPSULTAN ESENTEPE","28.939104","41.067395"
"031-Zeytinburnu Cirpici Sehir Parki","28.888716","41.000016"
"BAĞCILAR YAVUZSELİM","28.846707","41.035762"
"METRO-M5 Uskudar","29.014989","41.025568"
"001-Sutluce Iletisim Kordinasyon","28.948581","41.057966"
"031-Cadde Bostan Dalyan Parki","29.053326","40.967629"
"018-Gaziosmanpasa Meydan","28.913608","41.058146"
"ISKI-Silivri","28.257405","41.070766"
"HAMZA YERLİKAYA SPOR KOMPLEKSİ","28.8705919767666","41.0868345941349"
"038-Uzuncayir Metrobus Duragi Girisi","29.055545","40.998452"
"066-Deneyap Idris Gulluce Kultur Merkezi","29.302613","40.849826"
"SİLİVRİ","28.24721","41.07321"
"BAKIRKÖY GÜZELLİK VE SAÇ BAKIM HİZMETLERİ OKULU","28.8763","40.99522"
"METİN OKTAY SPOR TESİSİ","29.0493604435855","41.1283636792908"
"012-Ebubekir Kultur Merkezi","28.869792","41.033293"
"015-Asiyan Muzesi","29.053861","41.082512"
"İBB SAĞLIK DAİRE BAŞKANLIĞI İSTANBUL DARÜLACEZE MÜDÜRLÜĞÜ","28.94416","41.0147"
"014-Kartal Halil Inalcik Kutupha","29.161455","40.905838"
"ÇIRPICI SPOR TESİSİ","28.8922770619176","40.9994524354936"
"031-Halkali Camlik Parki","28.790541","41.031728"
"IETT Garaj-Edirnekapi-In","28.554602","41.014188"
"Üsküdar Musahipzade Celãl Sahnesi","29.0129386806933","41.0194799202129"
"ISKI-Sultangazi","28.845969","41.11527"
"067-Sancaktepe Dis Hastanesi","29.200872","40.994436"
"HAKKI BAŞAR SPOR KOMPLEKSİ","28.8662507802052","41.0452750766261"
"004-Fatih Kumkapi Balik Hali","28.965289","41.002444"
"IETT Garaj-Edirnekapi-TV","28.554602","41.014188"
